Elon Musk,"[-0.04079431,  0.12833875,  0.09567279, -0.06754913, -0.16568086,
  0.04784046, -0.04856685, -0.13132219,  0.15709214, -0.03193834,
  0.27517393, -0.09584358, -0.26093942, -0.0274255 ,  0.0102309 ,
  0.12711981, -0.18246444, -0.09030127, -0.03098039, -0.11783513,
  0.10310154,  0.07791612,  0.01409986, -0.0251183 , -0.09019262,
 -0.35824567, -0.1098474 , -0.07348385,  0.17460142, -0.0721918 ,
  0.01567671,  0.02479048, -0.13103868, -0.06202593,  0.05170847,
  0.01339187, -0.09266572, -0.08358005,  0.15323846, -0.05102269,
 -0.16817351, -0.03906867,  0.02029503,  0.20100555,  0.12790063,
  0.07797058,  0.0620932 , -0.10097203,  0.03339036, -0.21647567,
  0.07603515,  0.19824687,  0.03739689,  0.02337242,  0.13542867,
 -0.15507191, -0.03105094,  0.23430212, -0.18411805,  0.11906306,
  0.10111185, -0.08900177, -0.03854258, -0.09188166,  0.16577569,
  0.06885749, -0.06990956, -0.21397562,  0.19195274, -0.07266189,
 -0.14040881,  0.11239064, -0.13837256, -0.16758247, -0.31038344,
 -0.01582335,  0.46982434,  0.06678306, -0.18807873,  0.01757656,
 -0.01613472,  0.00955553,  0.14274146,  0.05451343, -0.02172893,
 -0.09370928, -0.14141008, -0.01548224,  0.14331424, -0.08326998,
 -0.03822871,  0.21729694, -0.02301161,  0.04834343,  0.00472803,
  0.11060414, -0.08298397,  0.01131189, -0.09639368, -0.09581599,
  0.09577484, -0.04225234, -0.03233846,  0.1635596 , -0.18559745,
  0.18196873,  0.00112928,  0.01430822, -0.01633434, -0.08146061,
 -0.01504838,  0.04275438,  0.2238104 , -0.32281643,  0.17059904,
  0.23209691,  0.00152808,  0.12856865,  0.01299127,  0.01919186,
  0.02216814, -0.11014782, -0.26345152, -0.09400334, -0.02793041,
 -0.0648085 , -0.08631241,  0.0530671 ]"
Donald Trump,"[-0.13872975,  0.09927497,  0.0236416 ,  0.0056672 , -0.13538514,
 -0.07375434,  0.01490277, -0.1491971 ,  0.04863366, -0.0643867 ,
  0.16444571, -0.07412717, -0.323419  , -0.11449321, -0.00248769,
  0.1585159 , -0.15485705, -0.1661898 , -0.21494435, -0.12218207,
  0.05511867, -0.00412628, -0.03203731, -0.03793934, -0.10550939,
 -0.25178385, -0.04939151, -0.13613063,  0.01926744, -0.10316727,
  0.05259459, -0.02105021, -0.245911  , -0.1293859 ,  0.00583208,
 -0.01789034, -0.0647238 , -0.0602704 ,  0.19550115, -0.02171938,
 -0.16602658,  0.02793954,  0.03953787,  0.17712203,  0.25001502,
  0.02501201, -0.00107834, -0.1350082 ,  0.14938325, -0.26837236,
 -0.00693405,  0.13338885,  0.18416122,  0.11624376,  0.06415483,
 -0.13320014,  0.06283388,  0.13189697, -0.25845909,  0.07320129,
  0.04888187, -0.18939841, -0.05764869, -0.01783886,  0.11258525,
  0.06527036, -0.00596138, -0.14908586,  0.3018395 , -0.16769592,
 -0.09943923,  0.05062699, -0.03094825, -0.15466522, -0.32421404,
 -0.02613017,  0.36689535,  0.16433908, -0.25447482, -0.060004  ,
 -0.10358364, -0.02660683,  0.02996861, -0.00404533, -0.05475413,
 -0.13187617, -0.12143321,  0.01161779,  0.21848467, -0.08704881,
 -0.0019481 ,  0.23038109,  0.06986481, -0.04124681,  0.0649433 ,
  0.02527045, -0.13877398, -0.04046576, -0.09527341, -0.08996349,
  0.06877065, -0.12166539,  0.0391669 ,  0.11330861, -0.11008124,
  0.17909707, -0.05172726, -0.02612543, -0.11676127, -0.09107427,
  0.01307191,  0.05437392,  0.14994711, -0.13638183,  0.2835398 ,
  0.20873193, -0.06539108,  0.10233071,  0.00877551,  0.04668211,
 -0.06048125, -0.06055567, -0.20580062, -0.17431916,  0.03286524,
  0.0323888 ,  0.03701774,  0.06967421]"
Jeff Bezos,"[-0.06234048,  0.0873827 ,  0.0005457 , -0.03518946, -0.0338893 ,
 -0.01470864,  0.02950908, -0.07601172,  0.02209768, -0.08004721,
  0.17134461, -0.07549436, -0.22582753, -0.07154411,  0.06234027,
  0.06895568, -0.12959267, -0.19750422, -0.13510457, -0.06043009,
  0.10572843,  0.01142158, -0.01378392,  0.07107897, -0.23105618,
 -0.28199905, -0.08714386, -0.16654876,  0.14376631, -0.11845987,
 -0.00418486, -0.0220881 , -0.12361856, -0.0421747 ,  0.02939578,
  0.08167228,  0.03489381, -0.04396682,  0.21462613,  0.07792743,
 -0.25596324,  0.07603758, -0.01514926,  0.35297391,  0.23951651,
  0.04799009,  0.05893603, -0.0822403 ,  0.03330745, -0.18529958,
  0.10364673,  0.17144917,  0.08398232,  0.07821701,  0.09527039,
 -0.11910866, -0.01096582,  0.10093534, -0.22396067,  0.05138863,
  0.04454921,  0.00207213,  0.06422833, -0.09207774,  0.12936182,
 -0.01526518, -0.1216976 , -0.09862195,  0.18533704, -0.22790746,
 -0.11827886,  0.0523629 , -0.12315483, -0.11449838, -0.31541559,
  0.03927161,  0.37789813,  0.20284615, -0.20642658,  0.05359741,
 -0.06118967, -0.05732455,  0.11281031,  0.118633  , -0.02426514,
  0.017179  , -0.02189968,  0.04038011,  0.15131128, -0.01217069,
 -0.00544737,  0.16672626, -0.01213316, -0.06924058,  0.09363985,
  0.08640935, -0.16388211, -0.01954745, -0.08472291, -0.06980068,
  0.01514276, -0.09769824,  0.04887715,  0.1858905 , -0.20070846,
  0.18628764, -0.02302816, -0.0663937 , -0.02879828,  0.07227251,
 -0.05153451, -0.05016796,  0.16115583, -0.24941701,  0.11503711,
  0.29599652, -0.02576742,  0.04309477,  0.09497113,  0.05804945,
 -0.00998612,  0.04071343, -0.23112954, -0.08426508,  0.011837  ,
  0.00341876,  0.03730809,  0.01625555]"
Vihan Agarwal,"[-1.75645694e-01,  9.29709822e-02,  1.18667997e-01, -5.89177646e-02,
 -2.39457469e-02, -4.22415696e-02, -3.13268006e-02, -1.25117362e-01,
  1.69922352e-01, -1.54055744e-01,  2.04955801e-01,  1.71372071e-02,
 -1.98768109e-01, -4.93087023e-02, -1.62634663e-02,  1.50788471e-01,
 -1.82629809e-01, -1.59572333e-01, -7.51480386e-02, -7.86579251e-02,
  1.30053293e-02, -2.20702626e-02,  3.94817516e-02,  9.04910564e-02,
 -1.66272968e-01, -3.35825741e-01, -6.13036379e-02, -1.48137644e-01,
  5.21426927e-03, -1.78912450e-02,  9.84168146e-03,  1.82289183e-02,
 -2.03400329e-01,  5.62167466e-02, -3.34589481e-02,  1.07226826e-01,
  7.58849680e-02,  4.17151414e-02,  1.90872028e-01, -3.03523690e-02,
 -2.35821292e-01, -3.50638963e-02,  9.64461491e-02,  1.84195995e-01,
  2.41375163e-01,  2.61886753e-02,  9.57004726e-04, -6.94452971e-02,
  7.37848058e-02, -2.19647929e-01,  9.69473571e-02,  1.04257762e-01,
  1.14674896e-01,  3.48704569e-02,  1.08651184e-01, -1.82457238e-01,
  1.20624900e-05,  4.29128073e-02, -1.27273664e-01,  9.18408297e-03,
  1.34924119e-02, -3.93830165e-02, -5.70163429e-02,  2.76678056e-02,
  2.80505598e-01,  8.94980282e-02, -1.35564759e-01, -8.45287293e-02,
  2.23423496e-01, -1.78304866e-01, -8.89752805e-03,  1.01582557e-01,
 -1.07027799e-01, -1.23849832e-01, -2.97517061e-01,  2.47515030e-02,
  4.38230932e-01,  1.37866601e-01, -1.82881683e-01,  9.08367634e-02,
 -1.63838372e-01, -3.89319099e-02,  3.14823762e-02,  7.53671378e-02,
 -9.28498507e-02,  2.63443273e-02, -6.51205033e-02,  4.46297750e-02,
  1.67354390e-01,  4.98364791e-02,  1.23810489e-02,  2.23885000e-01,
  2.50847451e-03,  1.39764678e-02,  7.58994371e-03,  9.40875523e-03,
 -8.26848000e-02, -6.27586395e-02, -1.51753023e-01, -9.23892781e-02,
  1.26226712e-02,  4.95829899e-03, -4.72821714e-03,  1.00194566e-01,
 -2.80572355e-01,  8.86758789e-02,  1.45376893e-02, -4.74755056e-02,
  3.98306884e-02,  1.35474890e-01, -8.42800811e-02, -9.04181674e-02,
  1.43986791e-01, -2.57809848e-01,  1.51069179e-01,  1.65310979e-01,
 -4.85934410e-03,  1.26391485e-01,  8.32690373e-02,  8.46073180e-02,
  2.27146968e-03, -3.20496410e-02, -1.37512043e-01, -1.90003384e-02,
  6.87951148e-02, -1.07904337e-01,  9.08416063e-02,  6.63665980e-02]"
Seema Agarwal,"[-9.22946930e-02,  3.45040783e-02,  8.01238790e-02, -5.94784468e-02,
 -3.72455008e-02, -1.16934612e-01,  9.11863707e-03, -1.39928460e-01,
  2.69156814e-01, -2.12619260e-01,  1.04691617e-01, -1.05455983e-02,
 -1.71709269e-01,  6.82125986e-02, -2.90479437e-02,  1.11888438e-01,
 -1.62619829e-01, -1.51400119e-01, -1.07205853e-01, -2.80046724e-02,
  8.25069547e-02, -1.01121666e-03,  3.98916304e-02,  6.04820624e-02,
 -2.28162974e-01, -3.28971744e-01, -1.64500862e-01, -3.62784527e-02,
  3.37722749e-02,  9.28292703e-03,  4.22249269e-03,  6.23988770e-02,
 -2.58978873e-01, -7.78377652e-02,  1.94150507e-02,  1.11789197e-01,
 -6.11894652e-02, -4.53387871e-02,  2.02756554e-01,  2.39157192e-02,
 -2.74214953e-01, -3.51906531e-02,  4.04269286e-02,  2.18764707e-01,
  2.00726882e-01,  4.95145991e-02,  2.32195165e-02, -1.12986058e-01,
  1.06829129e-01, -2.59587079e-01,  3.19174081e-02,  1.46739125e-01,
  1.21285105e-02,  1.38705879e-01,  8.74520838e-02, -1.59764111e-01,
  7.56212398e-02,  1.43392682e-01, -2.02712432e-01,  3.38462405e-02,
  5.81001155e-02, -1.27054870e-01,  3.08019258e-02,  5.75904921e-03,
  2.25095153e-01,  8.65322053e-02, -1.07029088e-01, -8.68140459e-02,
  2.26428568e-01, -2.02739239e-01,  4.41550016e-02,  6.36345148e-02,
 -7.90604651e-02, -2.07806349e-01, -2.74318933e-01, -4.66437787e-02,
  4.55540955e-01,  1.83296248e-01, -7.92281106e-02,  1.24154948e-01,
 -1.43153399e-01, -1.46697462e-02,  7.04454780e-02,  1.09887980e-01,
 -3.87244821e-02,  1.05246797e-01, -2.54641026e-02,  8.19752142e-02,
  2.16214046e-01,  9.30824410e-03, -1.44750001e-02,  2.31739849e-01,
 -1.47926062e-02,  1.01953465e-02,  5.96977994e-02,  1.25928214e-02,
 -1.78647131e-01, -4.99147698e-02, -1.67548358e-01, -3.61828469e-02,
  1.57274771e-03, -8.96266196e-03,  1.97365955e-02,  1.09759718e-01,
 -1.80347532e-01,  2.18375385e-01, -3.65824904e-04, -4.52668890e-02,
 -3.04671843e-02,  3.38939726e-02, -9.60558876e-02, -6.41437992e-02,
  1.10065587e-01, -2.65414000e-01,  1.90927655e-01,  1.55876920e-01,
 -6.52843937e-02,  2.02273741e-01,  4.43038605e-02,  8.03064257e-02,
 -1.88030973e-02,  2.58068834e-03, -1.51453227e-01, -4.43238616e-02,
  6.89816773e-02, -2.04876531e-02,  1.47290945e-01,  1.18898600e-02]"
